"TABLA 22:  ""INGRESOS, TRIBUTOS Y DESCUENTOS""",,,,,,,,,,,,,,,,,,
CÓDIGO,"DESCRIPCIÓN DE LOS INGRESOS, TRIBUTOS Y DESCUENTOS",EMPLEADOR,,,,,,,,TRABAJADOR,,,,,PENSIONISTA,,,
,,ESSALUD SEGURO REGULAR TRABAJADOR,ESSALUD - CBSSP - SEG TRAB PESQUERO,ESSALUD SEGURO AGRARIO / ACUICULTOR,ESSALUD SCTR,IMPUESTO EXTRAORD. DE SOLIDARIDAD (8),FONDO DERECHOS SOCIALES DEL ARTISTA,SENATI,FONDO COMP JUB TRAB PESQUERO,SISTEMA NACIONAL DE PENSIONES 19990,SISTEMA PRIVADO DE PENSIONES,"FONDO COMPL DE JUBIL MIN, MET Y SIDER (1)",RÉG.ESP. PENSIONES   TRAB. PESQUERO,RENTA 5TA CATEGORÍA RETENCIONES,ESSALUD SEGURO REGULAR PENSIONISTA,CONTRIB. SOLIDARIA ASISTENCIA PREVIS.,,
100,INGRESOS,,,,,,,,,,,,,,,,,
101,ALIMENTACIÓN PRINCIPAL EN DINERO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
102,ALIMENTACIÓN PRINCIPAL EN ESPECIE,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
103,COMISIONES O DESTAJO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
104,COMISIONES EVENTUALES A TRABAJADORES,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
105,TRABAJO EN SOBRETIEMPO (HORAS EXTRAS) 25%,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
106,TRABAJO EN SOBRETIEMPO (HORAS EXTRAS) 35%,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
107,TRABAJO EN DÍA FERIADO O DÍA DE DESCANSO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
108,INCREMENTO EN SNP 3.3 %,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
109,INCREMENTO POR AFILIACIÓN A AFP 10.23%,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,NO,SI,NO,NO,,
110,INCREMENTO POR AFILIACIÓN A AFP 3.00%,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,NO,NO,NO,NO,,
111,PREMIOS POR VENTAS,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
112,PRESTACIONES ALIMENTARIAS - SUMINISTROS DIRECTOS,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
113,PRESTACIONES ALIMENTARIAS - SUMINISTROS INDIRECTOS,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
114,VACACIONES TRUNCAS,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
115,REMUNERACIÓN DÍA DE DESCANSO Y FERIADOS (INCLUIDA LA DEL 1° DE MAYO),SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
116,REMUNERACIÓN EN ESPECIE,SI,SI,SI,NO,NO,SI,SI,SI,SI,NO,SI,SI,SI,NO,NO,,
117,COMPENSACIÓN VACACIONAL,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
118,REMUNERACIÓN VACACIONAL,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
119,REMUNERACIONES DEVENGADAS,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
120,SUBVENCIÓN ECONÓMICA MENSUAL (PRACTICANTE SENATI),Si,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,,
121,REMUNERACIÓN O JORNAL BÁSICO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
122,REMUNERACIÓN PERMANENTE,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
123,REMUNERACIÓN DE LOS SOCIOS DE COOPERATIVAS,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
124,REMUNERACIÓN POR LA HORA DE PERMISO POR LACTANCIA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,,
