"TABLA 30 ""OCUPACIÓN APLICABLE A LOS EMPLEADORES DEL SECTOR PRIVADO"".",,,,,,,,,,,,
"Dependiendo de la Categoría Ocupacional que se seleccione, se habilitarán los códigos de Ocupación.",,,,,,,,,,,,
(1) Código que puede ser asumido para la Categoría Ocupacional y (0) No se habilita el registro de esta Ocupación para la Categoría Ocupacional. ,,,,,,,,,,,,
Código,NOMBRE,Ejecutivo,Empleado,Obrero,,,,,,,,
121001,"DIRECTOR DE EMPRESAS, DE AGRICULTURA, CAZA, SILVICULTURA Y",1,1,0,,,,,,,,
121002,"DIRECTOR EJECUTIVO, EMPRESA, AGRICULTURA, CAZA, SILVICULTUR",1,1,0,,,,,,,,
121003,"DIRECTOR GENERAL, EMPRESA/AGRICULTURA",1,1,0,,,,,,,,
121004,"DIRECTOR GENERAL, EMPRESA/CAZA",1,1,0,,,,,,,,
121005,"DIRECTOR GENERAL, EMPRESA/EXPLOTACION: AGRICOLA, FORESTAL Y",1,1,0,,,,,,,,
121006,"DIRECTOR GENERAL, EMPRESA/PESCA",1,1,0,,,,,,,,
121007,"DIRECTOR GENERAL, EMPRESA/SILVICULTURA",1,1,0,,,,,,,,
121008,"DIRECTOR GENERAL, ORGANIZACION/ CAZA",1,1,0,,,,,,,,
121009,"DIRECTOR GENERAL, ORGANIZACION/PESCA",1,1,0,,,,,,,,
121010,"DIRECTOR GENERAL, ORGANIZACION/SILVICULTURA",1,1,0,,,,,,,,
121011,"GERENTE GENERAL, EMPRESA/AGRICULTURA",1,1,0,,,,,,,,
121012,"GERENTE GENERAL, EMPRESA/CAZA",1,1,0,,,,,,,,
121013,"GERENTE GENERAL, EMPRESA/PESCA",1,1,0,,,,,,,,
121014,"GERENTE GENERAL, EMPRESA/SILVICULTURA",1,1,0,,,,,,,,
121015,"GERENTE GENERAL, ORGANIZACION/CAZA",1,1,0,,,,,,,,
121016,"GERENTE GENERAL, ORGANIZACION/PESCA",1,1,0,,,,,,,,
121017,"GERENTE GENERAL, ORGANIZACION/SILVICULTURA",1,1,0,,,,,,,,
121020,"PRESIDENTE DEL DIRECTORIO, AGRICULTURA, CAZA, SILVICULTURA",1,1,0,,,,,,,,
122001,"DIRECTOR DE EMPRESAS, DE INDUSTRIAS MANUFACTURERAS, MINAS Y",1,1,0,,,,,,,,
122002,"DIRECTOR EJECUTIVO, EMPRESA, INDUSTRIA MANUFACTURERA, MINAS",1,1,0,,,,,,,,
122003,"DIRECTOR GENERAL, EMPRESA/INDUSTRIA MANUFACTURERA",1,1,0,,,,,,,,
122004,"DIRECTOR GENERAL, EMPRESA/SUMINISTRO DE ELECTRICIDAD, GAS Y",1,1,0,,,,,,,,
122005,"GERENTE GENERAL, EMPRESA/INDUSTRIA MANUFACTURERA",1,1,0,,,,,,,,
122006,"GERENTE GENERAL, EMPRESA/SUMINISTRO DE ELECTRICIDAD, GAS Y",1,1,0,,,,,,,,
