"TABLA 31: ""PLIEGO PRESUPUESTAL""  - SOLO PARA EMPLEADORES DEL SÉCTOR PÚBLICO",,,,,,,
CÓDIGO,DESCRIPCIÓN,DESCRIPCIÓN ABREVIADA,,,,,
0000,"SIN PLIEGO: MUNICIPALIDADES PROVINCIALES, DISTRITALES Y OTRAS ENTIDADES.","SIN PLIEGO: MUNIC PROV, DIST Y OTRAS",,,,,
1001,PRESIDENCIA DEL CONSEJO DE MINISTROS,PCM,,,,,
1002,INSTITUTO NACIONAL DE ESTADISTICA E INFORMATICA,INEI,,,,,
1006,INSTITUTO NACIONAL DE DEFENSA CIVIL,INDECI,,,,,
1010,DIRECCION NACIONAL DE INTELIGENCIA,DIRECCION NACIONAL DE INTELIGENCIA,,,,,
1011,DESPACHO PRESIDENCIAL,DESPACHO PRESIDENCIAL,,,,,
1012,COMISION NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,DEVIDA,,,,,
1016,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,CEPLAN,,,,,
1017,INSTITUTO NACIONAL DE DESARROLLO DE PUEBLOS ANDINOS AMAZONICOS Y AFROPERUANO - INDEPA,INDEPA,,,,,
1018,SIERRA EXPORTADORA,SIERRA EXPORTADORA,,,,,
1019,ORGANISMO SUPERVISOR DE LA INVERSION PRIVADA EN TELECOMUNICACIONES,OSIPTEL,,,,,
1020,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,OSINERGMIN,,,,,
1021,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,SUNASS,,,,,
1022,ORGANISMO SUPERVISOR DE LA INVERSION EN INFRAESTRUCTURA DE TRANSPORTE DE USO PUBLICO,OSITRAN,,,,,
1023,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,SERVIR,,,,,
1024,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,OSINFOR,,,,,
1070,CUERPO GENERAL DE BOMBEROS VOLUNTARIOS DEL PERU,CUERPO GEN DE BOMBEROS VOLUNT DEL PERU,,,,,
1116,INSTITUTO NACIONAL DE RADIO Y TELEVISION DEL PERU - IRTP,IRTP,,,,,
1183,INSTITUTO NACIONAL DE DEFENSA DE LA COMPETENCIA Y DE LA PROTECCION DE LA PROPIEDAD INTELECTUAL,INDECOPI,,,,,
3003,MINISTERIO DE CULTURA,MINISTERIO DE CULTURA ,,,,,
4004,PODER JUDICIAL,PODER JUDICIAL,,,,,
4040,ACADEMIA DE LA MAGISTRATURA,ACADEMIA DE LA MAGISTRATURA,,,,,
5005,MINISTERIO DEL AMBIENTE,MINISTERIO DEL AMBIENTE,,,,,
5050,SERVICIO NACIONAL DE AREAS NATURALES PROTEGIDAS POR EL ESTADO - SERNANP,SERNANP,,,,,
5051,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL - OEFA,OEFA,,,,,
5052,SERVICIO NACIONAL DE CERTIFICACIÓN AMBIENTAL PARA LAS INVERSIONES SOSTENIBLES- SENACE,SENACE,,,,,
5055,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,IIAP,,,,,
5112,INSTITUTO GEOFISICO DEL PERU,INSTITUTO GEOFISICO DEL PERU,,,,,
5331,SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGIA,SENAMHI,,,,,
6006,MINISTERIO DE JUSTICIA,MINISTERIO DE JUSTICIA,,,,,
6060,ARCHIVO GENERAL DE LA NACION,ARCHIVO GENERAL DE LA NACION,,,,,
6061,INSTITUTO NACIONAL PENITENCIARIO,INPE,,,,,
6067,SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS,SUNARP,,,,,
7007,MINISTERIO DEL INTERIOR,MINISTERIO DEL INTERIOR,,,,,
7070,INTENDENCIA NACIONAL DE BOMBEROS DEL PERÚ - INBP,INT.NAC. BOMBEROS DEL PERÚ,,,,,
7071,OFICINA NACIONAL DE GOBIERNO INTERIOR,ONAGI,,,,,
7072,"SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD, ARMAS, MUNICIONES Y EXPLOSIVOS DE USO CIVIL",SUCAMEC,,,,,
