"TABLA 34: ""INSTITUCIONES EDUCATIVAS Y SUS CARRERAS""",,,,,Vigente a partir del 01/07/2014,,
Elaborada según el Clasificador de Instituciones de Educación Superior y Técnico Productivas (v1) y el Clasificador de Carreras de Educación Superior y Técnico productivas (v1) aprobados por el Instituto Nacional de Estadística e Informática - INEI.,,,,,,,
Abreviaturas,,,,,,,
IEST : Instituto de Educación Superior Técnologica.,,,,,,,
ISP : Instituto Superior Pedagógico.,,,,,,,
ESFA : Educación Superior de Formación Artística. ,,,,,,,
UNIV: Universidad.,,,,,,,
FFAA y Policía : Escuelas e Institutos de Educación Superior Tecnológicos de las Fuerzas Armadas y Policiales.,,,,,,,
COD. REGIMEN,DESC. REGIMEN,COD. TIPO INST.,DESC. TIPO INST.,COD.  INSTITUCIÓN,DESC. INSTITUCIÓN,COD.  CARRERA,DESC. CARRERA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,181000003,"ESCUELA DE OFICIALES DE LA FUERZA AÉREA DEL PERÚ. CAPITAN FAP ""JOSÉ QUIÑONES GONZALES""",011016,CIENCIAS DE LA ADMINISTRACION AEROESPACIAL
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,181000004,ESCUELA DE OFICIALES DE LA POLICÍA NACIONAL DEL PERÚ,021016,ADMINISTRACIÓN Y CIENCIAS POLICIALES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,181000001,"ESCUELA MILITAR DEL PERÚ ""CORONEL FRANCISCO BOLOGNESI""",011026,CIENCIAS MILITARES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,181000002,ESCUELA NAVAL DEL PERÚ,011036,CIENCIAS ADMINISTRATIVAS MARÍTIMAS
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000004,ESCUELA TECNICA SUPERIOR DE LA POLICIA NACIONAL DEL PERÚ,021015,ADMINISTRACIÓN Y CIENCIAS POLICIALES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,011055,FUERZAS ESPECIALES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,011115,SEGURIDAD E INSTRUCCIÓN MILITAR
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,011045,DEFENSA AÉREA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,531015,AEROFOTOGRAFÍA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,414015,METEOROLOGÍA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,525025,ELECTRONICA AERONÁUTICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,526045,MANTENIMIENTO DE AERONAVES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,331025,ADMINISTRACIÓN
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,011075,INTELIGENCIA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,512025,SISTEMAS DE TELECOMUNICACIONES
